iter	Passed	Remaining
1042	2714	2490
1043	2716	2487
1044	2719	2484
1045	2721	2482
1046	2724	2480
1047	2727	2477
1048	2729	2474
1049	2732	2471
1050	2734	2469
1051	2736	2466
1052	2739	2463
1053	2741	2460
1054	2743	2457
1055	2746	2455
1056	2748	2452
1057	2751	2449
1058	2753	2446
1059	2756	2444
1060	2758	2441
1061	2760	2438
1062	2763	2436
1063	2765	2433
1064	2768	2430
1065	2770	2427
1066	2773	2425
1067	2775	2422
1068	2778	2419
1069	2780	2416
1070	2782	2413
1071	2785	2411
1072	2788	2408
1073	2790	2405
1074	2792	2403
1075	2795	2400
1076	2797	2397
1077	2799	2394
1078	2802	2392
1079	2805	2389
1080	2807	2386
1081	2810	2384
1082	2813	2381
1083	2815	2378
1084	2818	2376
1085	2820	2373
1086	2822	2370
1087	2825	2368
1088	2827	2365
1089	2830	2362
1090	2832	2360
1091	2835	2357
1092	2837	2354
1093	2839	2351
1094	2842	2348
1095	2844	2346
1096	2846	2343
1097	2849	2340
1098	2851	2337
1099	2853	2334
1100	2856	2332
1101	2859	2329
1102	2861	2326
1103	2863	2324
1104	2865	2321
1105	2868	2318
1106	2870	2315
1107	2872	2312
1108	2875	2310
1109	2877	2307
1110	2880	2304
1111	2882	2301
1112	2884	2299
1113	2887	2296
1114	2889	2293
1115	2891	2290
1116	2894	2287
1117	2896	2285
1118	2899	2282
1119	2901	2279
1120	2903	2276
1121	2905	2274
1122	2909	2271
1123	2911	2269
1124	2914	2266
1125	2916	2263
1126	2918	2260
1127	2921	2258
1128	2923	2255
1129	2925	2252
1130	2927	2249
1131	2930	2246
1132	2932	2244
1133	2934	2241
1134	2937	2238
1135	2939	2235
1136	2941	2232
1137	2944	2230
1138	2946	2227
1139	2948	2224
1140	2951	2221
1141	2953	2218
1142	2955	2216
1143	2958	2213
1144	2960	2210
1145	2962	2207
1146	2964	2205
1147	2967	2202
1148	2969	2199
1149	2972	2196
1150	2974	2194
1151	2977	2191
1152	2979	2188
1153	2982	2186
1154	2984	2183
1155	2986	2180
1156	2989	2177
1157	2991	2175
1158	2993	2172
1159	2996	2169
1160	2999	2167
1161	3001	2164
1162	3004	2161
1163	3006	2159
1164	3008	2156
1165	3010	2153
1166	3013	2150
1167	3015	2148
1168	3018	2145
1169	3020	2142
1170	3022	2139
1171	3025	2137
1172	3027	2134
1173	3029	2131
1174	3032	2129
1175	3035	2126
1176	3037	2124
1177	3040	2121
1178	3042	2118
1179	3044	2115
1180	3046	2112
1181	3049	2110
1182	3051	2107
1183	3053	2104
1184	3057	2102
1185	3060	2100
1186	3063	2098
1187	3066	2095
1188	3069	2093
1189	3073	2091
1190	3076	2089
1191	3080	2087
1192	3082	2085
1193	3085	2082
1194	3087	2080
1195	3090	2077
1196	3093	2075
1197	3095	2072
1198	3097	2069
1199	3100	2066
1200	3102	2064
1201	3105	2061
1202	3107	2058
1203	3110	2056
1204	3112	2053
1205	3114	2050
1206	3117	2048
1207	3120	2045
1208	3122	2042
1209	3124	2040
1210	3127	2037
1211	3129	2034
1212	3132	2032
1213	3134	2029
1214	3137	2026
1215	3139	2024
1216	3141	2021
1217	3144	2018
1218	3146	2016
1219	3149	2013
1220	3152	2011
1221	3154	2008
1222	3157	2005
1223	3159	2003
1224	3162	2000
1225	3164	1998
1226	3167	1995
1227	3169	1992
1228	3171	1989
1229	3174	1987
1230	3176	1984
1231	3178	1981
1232	3181	1978
1233	3183	1976
1234	3186	1973
1235	3188	1970
1236	3191	1968
1237	3193	1965
1238	3196	1963
1239	3198	1960
1240	3200	1957
1241	3203	1955
1242	3205	1952
1243	3207	1949
1244	3210	1946
1245	3213	1944
1246	3215	1941
1247	3218	1939
1248	3221	1936
1249	3223	1934
1250	3225	1931
1251	3228	1928
1252	3230	1926
1253	3233	1923
1254	3235	1920
1255	3238	1918
1256	3240	1915
1257	3243	1912
1258	3245	1910
1259	3248	1907
1260	3250	1904
1261	3253	1902
1262	3255	1899
1263	3258	1897
1264	3261	1894
1265	3263	1892
1266	3266	1889
1267	3269	1887
1268	3271	1884
1269	3274	1882
1270	3277	1879
1271	3279	1876
1272	3282	1874
1273	3285	1872
1274	3287	1869
1275	3290	1866
1276	3293	1864
1277	3295	1861
1278	3298	1859
1279	3300	1856
1280	3302	1853
1281	3305	1851
1282	3307	1848
1283	3309	1845
1284	3312	1843
1285	3314	1840
1286	3316	1837
1287	3319	1834
1288	3321	1832
1289	3323	1829
1290	3326	1826
1291	3328	1824
1292	3331	1821
1293	3333	1818
1294	3335	1816
1295	3338	1813
1296	3340	1810
